,Manufacturer,Model Name,Category,Screen Size,GPU,Operating System,Operating System Version,Weight,Price (Euros),Resolution,Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE
26,Apple,MacBook Air,Ultrabook,"13.3""",Intel HD Graphics 6000,Mac OS,X,1.35kg,"1099,00",1440x900,No Touchscreen,8,True,False,False,128,0,0,128
27,Dell,Inspiron 5570,Notebook,"15.6""",AMD Radeon 530,Windows,10,2.2kg,"800,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
28,Dell,Latitude 5590,Ultrabook,"15.6""",Intel UHD Graphics 620,Windows,10,1.88kg,"1298,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
29,HP,ProBook 470,Notebook,"17.3""",Nvidia GeForce 930MX,Windows,10,2.5kg,"896,00",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
30,Chuwi,"LapBook 15.6""",Notebook,"15.6""",Intel HD Graphics,Windows,10,1.89kg,"244,99",1920x1080,No Touchscreen,4,True,False,False,64,0,0,64
31,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,"14.0""",AMD Radeon R2,Windows,10,1.65kg,"199,00",1366x768,No Touchscreen,2,True,False,False,32,0,0,32
32,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,"17.3""",AMD Radeon 530,Windows,10,2.71kg,"439,00",1920x1080,No Touchscreen,4,False,True,False,0,500,0,500
33,Dell,XPS 13,Ultrabook,"13.3""",Intel UHD Graphics 620,Windows,10,1.2kg,"1869,00",3200x1800,Touchscreen,16,True,False,False,512,0,0,512
34,Apple,MacBook Air,Ultrabook,"13.3""",Intel HD Graphics 6000,Mac OS,X,1.35kg,"998,00",1440x900,No Touchscreen,8,True,False,False,256,0,0,256
35,Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",Intel HD Graphics 500,Windows,10,1.44kg,"249,00",1366x768,No Touchscreen,4,True,False,False,64,0,0,64
36,Acer,Aspire 3,Notebook,"15.6""",Intel HD Graphics 620,Linux,,2.1kg,"367,00",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
37,Dell,Inspiron 5770,Notebook,"17.3""",AMD Radeon 530,Windows,10,2.8kg,"979,00",1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128
38,HP,250 G6,Notebook,"15.6""",Intel HD Graphics 620,Windows,10,1.86kg,"488,69",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
39,HP,ProBook 450,Notebook,"15.6""",Nvidia GeForce 930MX ,Windows,10,2.1kg,"879,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
40,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,"15.6""",Intel HD Graphics 620,Linux,,2kg,"389,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
41,Dell,Inspiron 7577,Gaming,"15.6""",Nvidia GeForce GTX 1060,Windows,10,2.65kg,"1499,00",1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256
42,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,"15.6""",Nvidia GeForce 940MX,Linux,,2.3kg,"522,99",1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000
43,Acer,Aspire A515-51G,Notebook,"15.6""",Intel UHD Graphics 620,Windows,10,2.2kg,"682,00",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
44,Dell,Inspiron 7773,2 in 1 Convertible,"17.3""",Nvidia GeForce 150MX,Windows,10,2.77kg,"999,00",1920x1080,Touchscreen,12,False,True,False,0,1000,0,1000
45,Apple,MacBook Pro,Ultrabook,"13.3""",Intel Iris Graphics 540,macOS,,1.37kg,"1419,00",2560x1600,No Touchscreen,8,True,False,False,256,0,0,256
46,Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Intel HD Graphics 520,No OS,,2.2kg,"369,00",1366x768,No Touchscreen,4,True,False,False,128,0,0,128
47,Asus,Rog Strix,Gaming,"17.3""",AMD Radeon RX 580,Windows,10,3.2kg,"1299,00",1920x1080,No Touchscreen,8,True,True,False,256,1000,0,1256
48,Dell,Inspiron 3567,Notebook,"15.6""",AMD Radeon R5 M430,Windows,10,2.3kg,"639,00",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
49,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,"17.3""",Nvidia GeForce 920MX,Windows,10,2.8kg,"466,00",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
50,Lenovo,Yoga Book,2 in 1 Convertible,"10.1""",Intel HD Graphics 400,Android,,0.69kg,"319,00",1920x1200,Touchscreen,4,True,False,False,64,0,0,64
51,Acer,Aspire A515-51G,Notebook,"15.6""",Nvidia GeForce MX150,Windows,10,2.2kg,"841,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
52,HP,255 G6,Notebook,"15.6""",AMD Radeon R4 Graphics,Windows,10,1.86kg,"398,49",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
53,HP,ProBook 430,Notebook,"13.3""",Intel UHD Graphics 620,Windows,10,1.49kg,"1103,00",1920x1080,No Touchscreen,8,True,False,False,512,0,0,512
54,Acer,Aspire 3,Notebook,"15.6""",Intel HD Graphics 620,Windows,10,2.4kg,"384,00",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
55,Dell,Inspiron 3576,Notebook,"15.6""",AMD Radeon 520,Windows,10,2.13kg,"767,80",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
56,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,"15.6""",Intel HD Graphics 520,Windows,10,1.91kg,"439,00",1920x1080,No Touchscreen,4,True,False,False,128,0,0,128
57,Asus,VivoBook Max,Notebook,"15.6""",Intel HD Graphics 620,Windows,10,2kg,"586,19",1366x768,No Touchscreen,4,True,False,False,256,0,0,256
58,MSI,GS73VR 7RG,Gaming,"17.3""",Nvidia GeForce GTX 1070,Windows,10,2.43kg,"2449,00",1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256
59,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,"15.6""",Intel HD Graphics 520,Linux,,2kg,"415,00",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
60,Dell,Inspiron 5770,Notebook,"17.3""",AMD Radeon 530,Windows,10,2.8kg,"1299,00",1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256
61,Dell,Vostro 5471,Ultrabook,"14.0""",Intel UHD Graphics 620,Windows,10,1.7kg,"879,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
62,Lenovo,IdeaPad 520S-14IKB,Notebook,"14.0""",Intel HD Graphics 620,No OS,,1.7kg,"599,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
63,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,"14.0""",Intel UHD Graphics 620,Windows,10,1.4kg,"941,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
64,HP,250 G6,Notebook,"15.6""",Intel HD Graphics 620,Windows,10,1.86kg,"690,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
65,Asus,ZenBook Pro,Ultrabook,"15.6""",Nvidia GeForce GTX 1050 Ti,Windows,10,1.8kg,"1983,00",1920x1080,No Touchscreen,16,True,False,False,512,0,0,512
66,HP,250 G6,Notebook,"15.6""",AMD Radeon 520,Windows,10,1.86kg,"438,69",1366x768,No Touchscreen,4,False,True,False,0,500,0,500
67,HP,Stream 14-AX040wm,Notebook,"14.0""",Intel HD Graphics 400,Windows,10,1.44kg,"229,00",1366x768,No Touchscreen,4,True,False,False,32,0,0,32
68,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,"15.6""",Intel HD Graphics 620,Windows,10,1.9kg,"549,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
69,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,"17.3""",Nvidia GeForce GTX 1050 Ti,Linux,,3kg,"949,00",1920x1080,No Touchscreen,12,False,True,False,0,1000,0,1000
70,Microsoft,Surface Laptop,Ultrabook,"13.5""",Intel HD Graphics 620,Windows,10 S,1.252kg,"1089,00",2256x1504,Touchscreen,4,True,False,False,128,0,0,128
71,Dell,Inspiron 5370,Ultrabook,"13.3""",AMD Radeon 530,Windows,10,1.4kg,"955,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
72,Dell,Inspiron 5570,Notebook,"15.6""",AMD Radeon 530,Windows,10,2.2kg,"870,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
73,MSI,GL72M 7RDX,Gaming,"17.3""",Nvidia GeForce GTX 1050,Windows,10,2.7kg,"1095,00",1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128
74,Acer,Aspire E5-475,Notebook,"14.0""",Intel HD Graphics 520,Windows,10,2.1kg,"389,00",1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000
75,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,"15.6""",Nvidia GeForce GTX 1050,Windows,10,2.2kg,"949,00",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
76,Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Intel HD Graphics 620,No OS,,2.2kg,"519,00",1920x1080,No Touchscreen,8,False,True,False,0,2000,0,2000
77,Dell,Inspiron 5570,Notebook,"15.6""",Intel UHD Graphics 620,Windows,10,2.02kg,"855,00",1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128
78,Acer,Aspire A515-51G-32MX,Notebook,"15.6""",Nvidia GeForce MX130,Windows,10,2.2kg,"530,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
79,HP,ProBook 470,Notebook,"17.3""",Nvidia GeForce 930MX,Windows,10,2.5kg,"977,00",1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128
80,Dell,Latitude 5590,Ultrabook,"15.6""",Intel UHD Graphics 620,Windows,10,1.88kg,"1096,16",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
81,Apple,"MacBook 12""",Ultrabook,"12.0""",Intel HD Graphics 615,macOS,,0.92kg,"1510,00",2304x1440,No Touchscreen,8,True,False,False,512,0,0,512
82,HP,ProBook 440,Notebook,"14.0""",Intel HD Graphics 620,Windows,10,1.63kg,"860,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
83,Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",AMD R4 Graphics,Windows,10,2.2kg,"399,00",1920x1080,No Touchscreen,4,True,False,False,128,0,0,128
84,Acer,Aspire 3,Notebook,"15.6""",AMD Radeon R5,Windows,10,2.1kg,"395,00",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
85,Dell,Inspiron 7577,Gaming,"15.6""",Nvidia GeForce GTX 1050 Ti,Windows,10,2.65kg,"1349,00",1920x1080,No Touchscreen,16,True,True,False,128,1000,0,1128
86,HP,Pavilion 15-CK000nv,Ultrabook,"15.6""",Nvidia GeForce GTX 940MX,Windows,10,1.83kg,"699,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
87,HP,250 G6,Notebook,"15.6""",Intel HD Graphics 620,Windows,10,1.96kg,"598,99",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
88,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,"15.6""",Nvidia GeForce GTX 1060,Windows,10,2.2kg,"1449,00",1920x1080,No Touchscreen,16,True,True,False,128,1000,0,1128
89,Dell,XPS 13,Ultrabook,"13.3""",Intel UHD Graphics 620,Windows,10,1.21kg,"1649,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
90,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,"15.6""",AMD Radeon RX 560,Windows,10,2.45kg,"699,00",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
91,Acer,Aspire 5,Notebook,"15.6""",Nvidia GeForce MX150,Windows,10,2.2kg,"689,00",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
92,HP,Probook 430,Notebook,"13.3""",Intel UHD Graphics 620,Windows,10,1.49kg,"1197,00",1920x1080,No Touchscreen,16,True,False,False,512,0,0,512
93,Dell,Inspiron 7577,Gaming,"15.6""",Nvidia GeForce GTX 1060,Windows,10,2.65kg,"1195,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
94,Asus,Zenbook UX430UA,Ultrabook,"14.0""",Intel HD Graphics 620,Windows,10,1.25kg,"1049,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
95,Acer,Spin 5,2 in 1 Convertible,"13.3""",Intel UHD Graphics 620,Windows,10,1.5kg,"847,00",1920x1080,Touchscreen,8,True,False,False,256,0,0,256
96,Dell,Inspiron 3567,Notebook,"15.6""",AMD Radeon R5 M430,Linux,,2.2kg,"599,90",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
97,Dell,Inspiron 3567,Notebook,"15.6""",AMD Radeon R5 M430,Linux,,2.2kg,"485,00",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
98,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,"15.6""",Nvidia GeForce 920M,Windows,10,2kg,"577,00",1920x1080,No Touchscreen,6,True,False,False,256,0,0,256
99,HP,Omen 15-ce007nv,Gaming,"15.6""",Nvidia GeForce GTX 1050,Windows,10,2.62kg,"1249,00",1920x1080,No Touchscreen,12,True,True,False,128,1000,0,1128
100,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,"15.6""",AMD Radeon 530,Windows,10,1.91kg,"719,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
101,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,"15.6""",AMD Radeon R2,Windows,10,2.1kg,"349,00",1920x1080,No Touchscreen,4,False,True,False,0,500,0,500
102,Dell,Inspiron 3576,Notebook,"15.6""",AMD Radeon 520,Linux,,2.2kg,"647,00",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
103,HP,Envy 13-ad009n,Ultrabook,"13.3""",Nvidia GeForce MX150,Windows,10,1.38kg,"1119,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
104,Microsoft,Surface Laptop,Ultrabook,"13.5""",Intel HD Graphics 620,Windows,10 S,1.252kg,"1340,00",2256x1504,Touchscreen,8,True,False,False,256,0,0,256
105,HP,Pavilion 14-BK001nv,Notebook,"14.0""",Nvidia GeForce 940MX,Windows,10,1.58kg,"659,00",1920x1080,No Touchscreen,6,True,False,False,256,0,0,256
106,Lenovo,Ideapad 310-15ISK,Notebook,"15.6""",Intel HD Graphics 520,Windows,10,1.85kg,"414,90",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
107,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,"14.0""",Nvidia GeForce 940MX,Windows,10,1.3kg,"1193,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
108,MSI,GP62M 7REX,Gaming,"15.6""",Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,"1299,00",1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256
109,Lenovo,Thinkpad T470,Notebook,"14.0""",Intel HD Graphics 620,Windows,10,1.58kg,"1480,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
110,Asus,VivoBook S15,Ultrabook,"15.6""",Nvidia GeForce MX150,Windows,10,1.5kg,"1262,00",1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256
111,Dell,XPS 13,Ultrabook,"13.3""",Intel Iris Plus Graphics 640,Windows,10,1.23kg,"1379,00",3200x1800,Touchscreen,8,True,False,False,256,0,0,256
112,Lenovo,ThinkPad Yoga,2 in 1 Convertible,"13.3""",Intel HD Graphics 620,Windows,10,1.37kg,"1399,00",1920x1080,Touchscreen,8,True,False,False,256,0,0,256
113,HP,Probook 440,Notebook,"14.0""",Intel UHD Graphics 620,Windows,10,1.63kg,"722,00",1366x768,No Touchscreen,4,False,True,False,0,500,0,500
114,Dell,XPS 13,Ultrabook,"13.3""",Intel UHD Graphics 620,Windows,10,1.21kg,"1629,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
115,HP,Spectre x360,2 in 1 Convertible,"13.3""",Intel UHD Graphics 620,Windows,10,1.26kg,"1398,99",1920x1080,Touchscreen,8,True,False,False,256,0,0,256
116,HP,Probook 440,Notebook,"14.0""",Intel UHD Graphics 620,Windows,10,1.63kg,"1084,00",1920x1080,No Touchscreen,8,True,False,False,512,0,0,512
117,Dell,Inspiron 7570,Notebook,"15.6""",Nvidia GeForce 940MX,Windows,10,2.16kg,"1130,33",1920x1080,No Touchscreen,8,True,True,False,256,1000,0,1256
118,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,"17.3""",Nvidia GeForce 920MX,Windows,10,2kg,"564,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
119,Asus,VivoBook S15,Notebook,"15.6""",Nvidia GeForce 940MX,Windows,10,1.7kg,"1118,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
120,Acer,Spin 3,Notebook,"15.6""",Intel HD Graphics 620,Windows,10,2.1kg,"479,00",1920x1080,Touchscreen,6,False,True,False,0,1000,0,1000
121,MSI,GS63VR 7RG,Gaming,"15.6""",Nvidia GeForce GTX 1070,Windows,10,1.8kg,"2241,50",1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256
122,Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Nvidia GeForce 940MX,No OS,,2.2kg,"629,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
123,HP,Probook 470,Notebook,"17.3""",Nvidia GeForce 930MX ,Windows,10,2.5kg,"1271,00",1920x1080,No Touchscreen,16,True,False,False,512,0,0,512
124,Acer,Aspire 3,Notebook,"15.6""",AMD Radeon R5,Windows,10,2.1kg,"451,00",1366x768,No Touchscreen,4,True,False,False,256,0,0,256
125,HP,250 G6,Notebook,"15.6""",Intel HD Graphics 400,No OS,,1.86kg,"259,00",1366x768,No Touchscreen,4,False,True,False,0,500,0,500
126,HP,Probook 440,Notebook,"14.0""",Intel UHD Graphics 620,Windows,10,1.63kg,"812,00",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
127,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,"14.0""",AMD Radeon R2,Windows,10 S,1.65kg,"277,99",1366x768,No Touchscreen,4,True,False,False,64,0,0,64
128,Dell,Inspiron 5770,Notebook,"17.3""",AMD Radeon 530,Windows,10,2.8kg,"1396,00",1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256
129,HP,ProBook 470,Notebook,"17.3""",Intel UHD Graphics 620,Windows,10,2.5kg,"928,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
130,Dell,Inspiron 5567,Notebook,"15.6""",AMD Radeon R7 M445,Windows,10,2.36kg,"638,99",1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000
131,Dell,Inspiron 3567,Notebook,"15.6""",AMD Radeon R5 M430,Windows,10,2.2kg,"449,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
132,Acer,Swift 3,Ultrabook,"14.0""",Intel UHD Graphics 620,Windows,10,1.6kg,"884,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
133,Acer,Aspire A515-51G-37JS,Notebook,"15.6""",Nvidia GeForce MX130,Windows,10,2.2kg,"572,00",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
134,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,"15.6""",Intel HD Graphics 620,Windows,10,2.05kg,"598,00",1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000
135,HP,Probook 440,Notebook,"14.0""",Intel UHD Graphics 620,Windows,10,1.63kg,"988,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
136,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,"15.6""",Intel HD Graphics 500,No OS,,1.9kg,"252,36",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
137,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,"17.3""",Nvidia GeForce GTX 1050,Windows,10,3kg,"938,00",1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128
138,Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Nvidia GeForce 920MX,No OS,,2.2kg,"499,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
139,HP,Envy 13-AD007nv,Notebook,"13.3""",Intel HD Graphics 620,Windows,10,1.32kg,"699,00",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
140,Acer,Aspire 5,Notebook,"17.3""",Nvidia GeForce MX130,Windows,10,3kg,"655,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
141,Lenovo,ThinkPad E480,Notebook,"14.0""",AMD Radeon RX 550,Windows,10,1.75kg,"1116,02",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
142,Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",Nvidia GeForce GTX 1050M,No OS,,2.4kg,"869,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
143,Toshiba,Satellite Pro,Notebook,"15.6""",Intel HD Graphics 520,Windows,10,2.1kg,"602,00",1366x768,No Touchscreen,4,False,True,False,0,500,0,500
144,HP,255 G6,Notebook,"15.6""",AMD Radeon R4 Graphics,Windows,10,1.86kg,"369,00",1366x768,No Touchscreen,4,True,False,False,256,0,0,256
145,Asus,ZenBook UX430UA,Ultrabook,"14.0""",Intel UHD Graphics 620,Windows,10,1.25kg,"1099,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
146,HP,EliteBook Folio,Ultrabook,"12.5""",Intel HD Graphics 515,Windows,10,0.97kg,"2014,00",3840x2160,Touchscreen,8,True,False,False,512,0,0,512
147,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,"15.6""",Intel HD Graphics 500,Windows,10,2kg,"344,00",1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000
148,MSI,GE72MVR 7RG,Gaming,"17.3""",Nvidia GeForce GTX 1070,Windows,10,2.9kg,"2029,00",1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256
149,Acer,Aspire A315-51,Notebook,"15.6""",Intel HD Graphics 520,Windows,10,2.1kg,"447,00",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
150,Dell,Inspiron 5577,Gaming,"15.6""",Nvidia GeForce GTX 1050,Windows,10,2.56kg,"1249,26",1920x1080,No Touchscreen,16,True,False,False,512,0,0,512
151,Dell,Inspiron 7567,Gaming,"15.6""",Nvidia GeForce GTX 1050,Windows,10,2.62kg,"899,00",1920x1080,No Touchscreen,8,False,False,True,0,0,1000,1000
