Unnamed: 0,Manufacturer,Model Name,Category,Screen Size,GPU,Operating System,Operating System Version,Weight,Price (Euros),Resolution,Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE,Unnamed: 0,Brand,Clockspeed,Model,Series,Width,Height,fullRes
16,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Windows,10,2.2kg,745,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,16,Intel,2.7,,Core i7 7500U,1920,1080,2073600
17,Apple,MacBook Pro,Ultrabook,15.4,AMD Radeon Pro 560,macOS,,1.83kg,2858,2880x1800,No Touchscreen,16,True,False,False,512,0,0,512,17,Intel,2.9,,Core i7,2880,1800,5184000
18,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Nvidia GeForce 940MX,No OS,,2.2kg,499,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,18,Intel,2.4,,Core i3 7100U,1920,1080,2073600
19,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.22kg,979,1920x1080,Touchscreen,8,True,False,False,128,0,0,128,19,Intel,1.6,,Core i5 8250U,1920,1080,2073600
20,Asus,Vivobook E200HA,Netbook,11.6,Intel HD Graphics 400,Windows,10,0.98kg,191,1366x768,No Touchscreen,2,True,False,False,32,0,0,32,20,Intel,1.44,,Atom x5-Z8350,1366,768,1049088
21,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.5kg,999,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,21,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
22,HP,255 G6,Notebook,15.6,AMD Radeon R2,No OS,,1.86kg,258,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,22,AMD,1.5,E2-9000e,E-Series,1366,768,1049088
23,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.62kg,819,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,23,Intel,1.6,,Core i5 8250U,1920,1080,2073600
24,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Intel HD Graphics 620,Windows,10,1.91kg,659,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,24,Intel,1.8,,Core i7 8550U,1920,1080,2073600
25,Dell,Inspiron 3567,Notebook,15.6,Intel HD Graphics 520,Windows,10,2.3kg,418,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,25,Intel,2.0,,Core i3 6006U,1366,768,1049088
26,Apple,MacBook Air,Ultrabook,13.3,Intel HD Graphics 6000,Mac OS,X,1.35kg,1099,1440x900,No Touchscreen,8,True,False,False,128,0,0,128,26,Intel,1.6,,Core i5,1440,900,1296000
27,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,Windows,10,2.2kg,800,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,27,Intel,1.6,,Core i5 8250U,1920,1080,2073600
28,Dell,Latitude 5590,Ultrabook,15.6,Intel UHD Graphics 620,Windows,10,1.88kg,1298,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,28,Intel,1.9,,Core i7 8650U,1920,1080,2073600
29,HP,ProBook 470,Notebook,17.3,Nvidia GeForce 930MX,Windows,10,2.5kg,896,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,29,Intel,1.6,,Core i5 8250U,1920,1080,2073600
30,Chuwi,"LapBook 15.6""",Notebook,15.6,Intel HD Graphics,Windows,10,1.89kg,244,1920x1080,No Touchscreen,4,True,False,False,64,0,0,64,30,Intel,1.44,,Atom x5-Z8300,1920,1080,2073600
31,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,AMD Radeon R2,Windows,10,1.65kg,199,1366x768,No Touchscreen,2,True,False,False,32,0,0,32,31,AMD,1.5,E2-6110,E-Series,1366,768,1049088
32,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,AMD Radeon 530,Windows,10,2.71kg,439,1920x1080,No Touchscreen,4,False,True,False,0,500,0,500,32,AMD,2.5,9220,A6-Series,1920,1080,2073600
33,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.2kg,1869,3200x1800,Touchscreen,16,True,False,False,512,0,0,512,33,Intel,1.8,,Core i7 8550U,3200,1800,5760000
34,Apple,MacBook Air,Ultrabook,13.3,Intel HD Graphics 6000,Mac OS,X,1.35kg,998,1440x900,No Touchscreen,8,True,False,False,256,0,0,256,34,Intel,1.6,,Core i5,1440,900,1296000
35,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel HD Graphics 500,Windows,10,1.44kg,249,1366x768,No Touchscreen,4,True,False,False,64,0,0,64,35,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
36,Acer,Aspire 3,Notebook,15.6,Intel HD Graphics 620,Linux,,2.1kg,367,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,36,Intel,2.7,,Core i3 7130U,1366,768,1049088
37,Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,Windows,10,2.8kg,979,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,37,Intel,1.6,,Core i5 8250U,1920,1080,2073600
38,HP,250 G6,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.86kg,488,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,38,Intel,2.5,,Core i5 7200U,1366,768,1049088
39,HP,ProBook 450,Notebook,15.6,Nvidia GeForce 930MX ,Windows,10,2.1kg,879,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,39,Intel,1.6,,Core i5 8250U,1920,1080,2073600
40,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel HD Graphics 620,Linux,,2kg,389,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,40,Intel,2.0,,Core i3 6006U,1920,1080,2073600
41,Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1499,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,41,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
42,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Nvidia GeForce 940MX,Linux,,2.3kg,522,1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000,42,Intel,2.5,,Core i5 7200U,1366,768,1049088
43,Acer,Aspire A515-51G,Notebook,15.6,Intel UHD Graphics 620,Windows,10,2.2kg,682,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,43,Intel,1.6,,Core i5 8250U,1920,1080,2073600
44,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Nvidia GeForce 150MX,Windows,10,2.77kg,999,1920x1080,Touchscreen,12,False,True,False,0,1000,0,1000,44,Intel,1.6,,Core i5 8250U,1920,1080,2073600
45,Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Graphics 540,macOS,,1.37kg,1419,2560x1600,No Touchscreen,8,True,False,False,256,0,0,256,45,Intel,2.0,,Core i5,2560,1600,4096000
46,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel HD Graphics 520,No OS,,2.2kg,369,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,46,Intel,2.0,,Core i3 6006U,1366,768,1049088
47,Asus,Rog Strix,Gaming,17.3,AMD Radeon RX 580,Windows,10,3.2kg,1299,1920x1080,No Touchscreen,8,True,True,False,256,1000,0,1256,47,AMD,3.0,1700,Ryzen,1920,1080,2073600
48,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Windows,10,2.3kg,639,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,48,Intel,2.5,,Core i5 7200U,1920,1080,2073600
49,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Nvidia GeForce 920MX,Windows,10,2.8kg,466,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,49,Intel,1.1,,Pentium Quad Core N4200,1366,768,1049088
50,Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel HD Graphics 400,Android,,0.69kg,319,1920x1200,Touchscreen,4,True,False,False,64,0,0,64,50,Intel,1.44,,Atom x5-Z8550,1920,1200,2304000
51,Acer,Aspire A515-51G,Notebook,15.6,Nvidia GeForce MX150,Windows,10,2.2kg,841,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,51,Intel,1.8,,Core i7 8550U,1920,1080,2073600
52,HP,255 G6,Notebook,15.6,AMD Radeon R4 Graphics,Windows,10,1.86kg,398,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,52,AMD,2.5,9220,A6-Series,1920,1080,2073600
53,HP,ProBook 430,Notebook,13.3,Intel UHD Graphics 620,Windows,10,1.49kg,1103,1920x1080,No Touchscreen,8,True,False,False,512,0,0,512,53,Intel,1.8,,Core i7 8550U,1920,1080,2073600
54,Acer,Aspire 3,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.4kg,384,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,54,Intel,2.4,,Core i3 7100U,1366,768,1049088
55,Dell,Inspiron 3576,Notebook,15.6,AMD Radeon 520,Windows,10,2.13kg,767,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,55,Intel,1.8,,Core i7 8550U,1920,1080,2073600
56,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Intel HD Graphics 520,Windows,10,1.91kg,439,1920x1080,No Touchscreen,4,True,False,False,128,0,0,128,56,Intel,2.0,,Core i3 6006U,1920,1080,2073600
57,Asus,VivoBook Max,Notebook,15.6,Intel HD Graphics 620,Windows,10,2kg,586,1366x768,No Touchscreen,4,True,False,False,256,0,0,256,57,Intel,2.5,,Core i5 7200U,1366,768,1049088
58,MSI,GS73VR 7RG,Gaming,17.3,Nvidia GeForce GTX 1070,Windows,10,2.43kg,2449,1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256,58,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
59,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Intel HD Graphics 520,Linux,,2kg,415,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,59,Intel,2.0,,Core i3 6006U,1920,1080,2073600
60,Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,Windows,10,2.8kg,1299,1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256,60,Intel,1.8,,Core i7 8550U,1920,1080,2073600
61,Dell,Vostro 5471,Ultrabook,14.0,Intel UHD Graphics 620,Windows,10,1.7kg,879,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,61,Intel,1.6,,Core i5 8250U,1920,1080,2073600
62,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,Intel HD Graphics 620,No OS,,1.7kg,599,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,62,Intel,2.7,,Core i3 7130U,1920,1080,2073600
63,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Intel UHD Graphics 620,Windows,10,1.4kg,941,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,63,Intel,1.6,,Core i5 8250U,1920,1080,2073600
64,HP,250 G6,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.86kg,690,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,64,Intel,2.5,,Core i5 7200U,1920,1080,2073600
65,Asus,ZenBook Pro,Ultrabook,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8kg,1983,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,65,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
66,HP,250 G6,Notebook,15.6,AMD Radeon 520,Windows,10,1.86kg,438,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,66,Intel,2.0,,Core i3 6006U,1366,768,1049088
67,HP,Stream 14-AX040wm,Notebook,14.0,Intel HD Graphics 400,Windows,10,1.44kg,229,1366x768,No Touchscreen,4,True,False,False,32,0,0,32,67,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
68,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel HD Graphics 620,Windows,10,1.9kg,549,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,68,Intel,2.5,,Core i5 7200U,1920,1080,2073600
69,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Nvidia GeForce GTX 1050 Ti,Linux,,3kg,949,1920x1080,No Touchscreen,12,False,True,False,0,1000,0,1000,69,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
70,Microsoft,Surface Laptop,Ultrabook,13.5,Intel HD Graphics 620,Windows,10 S,1.252kg,1089,2256x1504,Touchscreen,4,True,False,False,128,0,0,128,70,Intel,2.5,,Core i5 7200U,2256,1504,3393024
71,Dell,Inspiron 5370,Ultrabook,13.3,AMD Radeon 530,Windows,10,1.4kg,955,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,71,Intel,1.8,,Core i7 8550U,1920,1080,2073600
72,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,Windows,10,2.2kg,870,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,72,Intel,1.8,,Core i7 8550U,1920,1080,2073600
73,MSI,GL72M 7RDX,Gaming,17.3,Nvidia GeForce GTX 1050,Windows,10,2.7kg,1095,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,73,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
74,Acer,Aspire E5-475,Notebook,14.0,Intel HD Graphics 520,Windows,10,2.1kg,389,1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000,74,Intel,2.0,,Core i3 6006U,1366,768,1049088
75,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.2kg,949,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,75,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
76,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel HD Graphics 620,No OS,,2.2kg,519,1920x1080,No Touchscreen,8,False,True,False,0,2000,0,2000,76,Intel,2.5,,Core i5 7200U,1920,1080,2073600
77,Dell,Inspiron 5570,Notebook,15.6,Intel UHD Graphics 620,Windows,10,2.02kg,855,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,77,Intel,1.8,,Core i7 8550U,1920,1080,2073600
78,Acer,Aspire A515-51G-32MX,Notebook,15.6,Nvidia GeForce MX130,Windows,10,2.2kg,530,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,78,Intel,2.7,,Core i3 7130U,1920,1080,2073600
79,HP,ProBook 470,Notebook,17.3,Nvidia GeForce 930MX,Windows,10,2.5kg,977,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,79,Intel,1.6,,Core i5 8250U,1920,1080,2073600
80,Dell,Latitude 5590,Ultrabook,15.6,Intel UHD Graphics 620,Windows,10,1.88kg,1096,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,80,Intel,1.6,,Core i5 8250U,1920,1080,2073600
81,Apple,"MacBook 12""",Ultrabook,12.0,Intel HD Graphics 615,macOS,,0.92kg,1510,2304x1440,No Touchscreen,8,True,False,False,512,0,0,512,81,Intel,1.3,,Core i5,2304,1440,3317760
82,HP,ProBook 440,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.63kg,860,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,82,Intel,1.6,,Core i5 8250U,1920,1080,2073600
83,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD R4 Graphics,Windows,10,2.2kg,399,1920x1080,No Touchscreen,4,True,False,False,128,0,0,128,83,AMD,2.5,9220,A6-Series,1920,1080,2073600
84,Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,Windows,10,2.1kg,395,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,84,AMD,3.0,9420,A9-Series,1366,768,1049088
85,Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65kg,1349,1920x1080,No Touchscreen,16,True,True,False,128,1000,0,1128,85,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
86,HP,Pavilion 15-CK000nv,Ultrabook,15.6,Nvidia GeForce GTX 940MX,Windows,10,1.83kg,699,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,86,Intel,1.8,,Core i7 8550U,1920,1080,2073600
87,HP,250 G6,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.96kg,598,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,87,Intel,2.5,,Core i5 7200U,1920,1080,2073600
88,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Nvidia GeForce GTX 1060,Windows,10,2.2kg,1449,1920x1080,No Touchscreen,16,True,True,False,128,1000,0,1128,88,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
89,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.21kg,1649,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,89,Intel,1.8,,Core i7 8550U,1920,1080,2073600
90,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,AMD Radeon RX 560,Windows,10,2.45kg,699,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,90,AMD,3.0,9830P,FX,1920,1080,2073600
91,Acer,Aspire 5,Notebook,15.6,Nvidia GeForce MX150,Windows,10,2.2kg,689,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,91,Intel,1.8,,Core i7 8550U,1920,1080,2073600
92,HP,Probook 430,Notebook,13.3,Intel UHD Graphics 620,Windows,10,1.49kg,1197,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,92,Intel,1.8,,Core i7 8550U,1920,1080,2073600
93,Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1195,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,93,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
94,Asus,Zenbook UX430UA,Ultrabook,14.0,Intel HD Graphics 620,Windows,10,1.25kg,1049,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,94,Intel,2.7,,Core i7 7500U,1920,1080,2073600
95,Acer,Spin 5,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.5kg,847,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,95,Intel,1.6,,Core i5 8250U,1920,1080,2073600
96,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Linux,,2.2kg,599,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,96,Intel,2.7,,Core i7 7500U,1920,1080,2073600
97,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Linux,,2.2kg,485,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,97,Intel,2.0,,Core i3 6006U,1920,1080,2073600
98,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Nvidia GeForce 920M,Windows,10,2kg,577,1920x1080,No Touchscreen,6,True,False,False,256,0,0,256,98,Intel,2.4,,Core i3 7100U,1920,1080,2073600
99,HP,Omen 15-ce007nv,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.62kg,1249,1920x1080,No Touchscreen,12,True,True,False,128,1000,0,1128,99,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
100,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,AMD Radeon 530,Windows,10,1.91kg,719,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,100,Intel,2.7,,Core i7 7500U,1920,1080,2073600
101,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,AMD Radeon R2,Windows,10,2.1kg,349,1920x1080,No Touchscreen,4,False,True,False,0,500,0,500,101,AMD,1.5,E2-9000e,E-Series,1920,1080,2073600
102,Dell,Inspiron 3576,Notebook,15.6,AMD Radeon 520,Linux,,2.2kg,647,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,102,Intel,1.6,,Core i5 8250U,1920,1080,2073600
103,HP,Envy 13-ad009n,Ultrabook,13.3,Nvidia GeForce MX150,Windows,10,1.38kg,1119,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,103,Intel,2.7,,Core i7 7500U,1920,1080,2073600
104,Microsoft,Surface Laptop,Ultrabook,13.5,Intel HD Graphics 620,Windows,10 S,1.252kg,1340,2256x1504,Touchscreen,8,True,False,False,256,0,0,256,104,Intel,2.5,,Core i5 7200U,2256,1504,3393024
105,HP,Pavilion 14-BK001nv,Notebook,14.0,Nvidia GeForce 940MX,Windows,10,1.58kg,659,1920x1080,No Touchscreen,6,True,False,False,256,0,0,256,105,Intel,2.5,,Core i5 7200U,1920,1080,2073600
106,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Intel HD Graphics 520,Windows,10,1.85kg,414,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,106,Intel,2.0,,Core i3 6006U,1920,1080,2073600
107,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Nvidia GeForce 940MX,Windows,10,1.3kg,1193,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,107,Intel,2.7,,Core i7 7500U,1920,1080,2073600
108,MSI,GP62M 7REX,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,1299,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,108,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
109,Lenovo,Thinkpad T470,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.58kg,1480,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,109,Intel,2.7,,Core i7 7500U,1920,1080,2073600
110,Asus,VivoBook S15,Ultrabook,15.6,Nvidia GeForce MX150,Windows,10,1.5kg,1262,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,110,Intel,1.8,,Core i7 8550U,1920,1080,2073600
111,Dell,XPS 13,Ultrabook,13.3,Intel Iris Plus Graphics 640,Windows,10,1.23kg,1379,3200x1800,Touchscreen,8,True,False,False,256,0,0,256,111,Intel,2.4,,Core i7 7560U,3200,1800,5760000
112,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows,10,1.37kg,1399,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,112,Intel,2.5,,Core i5 7200U,1920,1080,2073600
113,HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,Windows,10,1.63kg,722,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,113,Intel,1.6,,Core i5 8250U,1366,768,1049088
114,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.21kg,1629,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,114,Intel,1.6,,Core i5 8250U,1920,1080,2073600
115,HP,Spectre x360,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.26kg,1398,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,115,Intel,1.6,,Core i5 8250U,1920,1080,2073600
116,HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,Windows,10,1.63kg,1084,1920x1080,No Touchscreen,8,True,False,False,512,0,0,512,116,Intel,1.8,,Core i7 8550U,1920,1080,2073600
117,Dell,Inspiron 7570,Notebook,15.6,Nvidia GeForce 940MX,Windows,10,2.16kg,1130,1920x1080,No Touchscreen,8,True,True,False,256,1000,0,1256,117,Intel,1.8,,Core i7 8550U,1920,1080,2073600
