Manufacturer,Model Name,Category,Screen Size,GPU,Price (Euros),Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE,Brand,Clockspeed,Model,Series,Width,Height,fullRes
Apple,MacBook Air,Ultrabook,13.3,Intel HD Graphics 6000,998,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5,1440,900,1296000
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel HD Graphics 500,249,No Touchscreen,4,True,False,False,64,0,0,64,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Acer,Aspire 3,Notebook,15.6,Intel HD Graphics 620,367,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.7,,Core i3 7130U,1366,768,1049088
Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,979,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,250 G6,Notebook,15.6,Intel HD Graphics 620,488,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1366,768,1049088
HP,ProBook 450,Notebook,15.6,Nvidia GeForce 930MX ,879,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel HD Graphics 620,389,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1060,1499,No Touchscreen,16,True,True,False,256,1000,0,1256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Nvidia GeForce 940MX,522,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1366,768,1049088
Acer,Aspire A515-51G,Notebook,15.6,Intel UHD Graphics 620,682,No Touchscreen,4,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Nvidia GeForce 150MX,999,Touchscreen,12,False,True,False,0,1000,0,1000,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Graphics 540,1419,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.0,,Core i5,2560,1600,4096000
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel HD Graphics 520,369,No Touchscreen,4,True,False,False,128,0,0,128,Intel,2.0,,Core i3 6006U,1366,768,1049088
Asus,Rog Strix,Gaming,17.3,AMD Radeon RX 580,1299,No Touchscreen,8,True,True,False,256,1000,0,1256,AMD,3.0,1700,Ryzen,1920,1080,2073600
Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,639,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Nvidia GeForce 920MX,466,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,1.1,,Pentium Quad Core N4200,1366,768,1049088
Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel HD Graphics 400,319,Touchscreen,4,True,False,False,64,0,0,64,Intel,1.44,,Atom x5-Z8550,1920,1200,2304000
Acer,Aspire A515-51G,Notebook,15.6,Nvidia GeForce MX150,841,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
HP,255 G6,Notebook,15.6,AMD Radeon R4 Graphics,398,No Touchscreen,4,True,False,False,256,0,0,256,AMD,2.5,9220,A6-Series,1920,1080,2073600
HP,ProBook 430,Notebook,13.3,Intel UHD Graphics 620,1103,No Touchscreen,8,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Acer,Aspire 3,Notebook,15.6,Intel HD Graphics 620,384,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.4,,Core i3 7100U,1366,768,1049088
Dell,Inspiron 3576,Notebook,15.6,AMD Radeon 520,767,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Intel HD Graphics 520,439,No Touchscreen,4,True,False,False,128,0,0,128,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Asus,VivoBook Max,Notebook,15.6,Intel HD Graphics 620,586,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1366,768,1049088
MSI,GS73VR 7RG,Gaming,17.3,Nvidia GeForce GTX 1070,2449,No Touchscreen,16,True,True,False,256,2000,0,2256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Intel HD Graphics 520,415,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,1299,No Touchscreen,16,True,True,False,256,2000,0,2256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Vostro 5471,Ultrabook,14.0,Intel UHD Graphics 620,879,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,Intel HD Graphics 620,599,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i3 7130U,1920,1080,2073600
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Intel UHD Graphics 620,941,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,250 G6,Notebook,15.6,Intel HD Graphics 620,690,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Asus,ZenBook Pro,Ultrabook,15.6,Nvidia GeForce GTX 1050 Ti,1983,No Touchscreen,16,True,False,False,512,0,0,512,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
HP,250 G6,Notebook,15.6,AMD Radeon 520,438,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.0,,Core i3 6006U,1366,768,1049088
HP,Stream 14-AX040wm,Notebook,14.0,Intel HD Graphics 400,229,No Touchscreen,4,True,False,False,32,0,0,32,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel HD Graphics 620,549,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Nvidia GeForce GTX 1050 Ti,949,No Touchscreen,12,False,True,False,0,1000,0,1000,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,Intel HD Graphics 620,1089,Touchscreen,4,True,False,False,128,0,0,128,Intel,2.5,,Core i5 7200U,2256,1504,3393024
Dell,Inspiron 5370,Ultrabook,13.3,AMD Radeon 530,955,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,870,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
MSI,GL72M 7RDX,Gaming,17.3,Nvidia GeForce GTX 1050,1095,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
Acer,Aspire E5-475,Notebook,14.0,Intel HD Graphics 520,389,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1366,768,1049088
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Nvidia GeForce GTX 1050,949,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel HD Graphics 620,519,No Touchscreen,8,False,True,False,0,2000,0,2000,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Dell,Inspiron 5570,Notebook,15.6,Intel UHD Graphics 620,855,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Acer,Aspire A515-51G-32MX,Notebook,15.6,Nvidia GeForce MX130,530,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.7,,Core i3 7130U,1920,1080,2073600
HP,ProBook 470,Notebook,17.3,Nvidia GeForce 930MX,977,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Dell,Latitude 5590,Ultrabook,15.6,Intel UHD Graphics 620,1096,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Apple,"MacBook 12""",Ultrabook,12.0,Intel HD Graphics 615,1510,No Touchscreen,8,True,False,False,512,0,0,512,Intel,1.3,,Core i5,2304,1440,3317760
HP,ProBook 440,Notebook,14.0,Intel HD Graphics 620,860,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD R4 Graphics,399,No Touchscreen,4,True,False,False,128,0,0,128,AMD,2.5,9220,A6-Series,1920,1080,2073600
Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,395,No Touchscreen,4,False,True,False,0,1000,0,1000,AMD,3.0,9420,A9-Series,1366,768,1049088
Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,1349,No Touchscreen,16,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
HP,Pavilion 15-CK000nv,Ultrabook,15.6,Nvidia GeForce GTX 940MX,699,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
HP,250 G6,Notebook,15.6,Intel HD Graphics 620,598,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Nvidia GeForce GTX 1060,1449,No Touchscreen,16,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,1649,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,AMD Radeon RX 560,699,No Touchscreen,8,False,True,False,0,1000,0,1000,AMD,3.0,9830P,FX,1920,1080,2073600
Acer,Aspire 5,Notebook,15.6,Nvidia GeForce MX150,689,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,1.8,,Core i7 8550U,1920,1080,2073600
HP,Probook 430,Notebook,13.3,Intel UHD Graphics 620,1197,No Touchscreen,16,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1060,1195,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
Asus,Zenbook UX430UA,Ultrabook,14.0,Intel HD Graphics 620,1049,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Acer,Spin 5,2 in 1 Convertible,13.3,Intel UHD Graphics 620,847,Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,599,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,485,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Nvidia GeForce 920M,577,No Touchscreen,6,True,False,False,256,0,0,256,Intel,2.4,,Core i3 7100U,1920,1080,2073600
HP,Omen 15-ce007nv,Gaming,15.6,Nvidia GeForce GTX 1050,1249,No Touchscreen,12,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,AMD Radeon 530,719,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,AMD Radeon R2,349,No Touchscreen,4,False,True,False,0,500,0,500,AMD,1.5,E2-9000e,E-Series,1920,1080,2073600
Dell,Inspiron 3576,Notebook,15.6,AMD Radeon 520,647,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,Envy 13-ad009n,Ultrabook,13.3,Nvidia GeForce MX150,1119,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,Intel HD Graphics 620,1340,Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,2256,1504,3393024
HP,Pavilion 14-BK001nv,Notebook,14.0,Nvidia GeForce 940MX,659,No Touchscreen,6,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Intel HD Graphics 520,414,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Nvidia GeForce 940MX,1193,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
MSI,GP62M 7REX,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,1299,No Touchscreen,16,True,True,False,256,1000,0,1256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,Thinkpad T470,Notebook,14.0,Intel HD Graphics 620,1480,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Asus,VivoBook S15,Ultrabook,15.6,Nvidia GeForce MX150,1262,No Touchscreen,16,True,True,False,256,1000,0,1256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,XPS 13,Ultrabook,13.3,Intel Iris Plus Graphics 640,1379,Touchscreen,8,True,False,False,256,0,0,256,Intel,2.4,,Core i7 7560U,3200,1800,5760000
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel HD Graphics 620,1399,Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,722,No Touchscreen,4,False,True,False,0,500,0,500,Intel,1.6,,Core i5 8250U,1366,768,1049088
Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,1629,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,Spectre x360,2 in 1 Convertible,13.3,Intel UHD Graphics 620,1398,Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,1084,No Touchscreen,8,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Inspiron 7570,Notebook,15.6,Nvidia GeForce 940MX,1130,No Touchscreen,8,True,True,False,256,1000,0,1256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Nvidia GeForce 920MX,564,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Asus,VivoBook S15,Notebook,15.6,Nvidia GeForce 940MX,1118,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Acer,Spin 3,Notebook,15.6,Intel HD Graphics 620,479,Touchscreen,6,False,True,False,0,1000,0,1000,Intel,2.4,,Core i3 7100U,1920,1080,2073600
MSI,GS63VR 7RG,Gaming,15.6,Nvidia GeForce GTX 1070,2241,No Touchscreen,16,True,True,False,256,2000,0,2256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Nvidia GeForce 940MX,629,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
HP,Probook 470,Notebook,17.3,Nvidia GeForce 930MX ,1271,No Touchscreen,16,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,451,No Touchscreen,4,True,False,False,256,0,0,256,AMD,3.0,9420,A9-Series,1366,768,1049088
HP,250 G6,Notebook,15.6,Intel HD Graphics 400,259,No Touchscreen,4,False,True,False,0,500,0,500,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,812,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,AMD Radeon R2,277,No Touchscreen,4,True,False,False,64,0,0,64,AMD,1.5,6110,E-Series,1366,768,1049088
Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,1396,No Touchscreen,16,True,True,False,256,2000,0,2256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
HP,ProBook 470,Notebook,17.3,Intel UHD Graphics 620,928,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Dell,Inspiron 5567,Notebook,15.6,AMD Radeon R7 M445,638,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1366,768,1049088
Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,449,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Acer,Swift 3,Ultrabook,14.0,Intel UHD Graphics 620,884,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Acer,Aspire A515-51G-37JS,Notebook,15.6,Nvidia GeForce MX130,572,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.7,,Core i3 7130U,1920,1080,2073600
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,Intel HD Graphics 620,598,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.7,,Core i7 7500U,1366,768,1049088
HP,Probook 440,Notebook,14.0,Intel UHD Graphics 620,988,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,Intel HD Graphics 500,252,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Nvidia GeForce GTX 1050,938,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Nvidia GeForce 920MX,499,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1920,1080,2073600
HP,Envy 13-AD007nv,Notebook,13.3,Intel HD Graphics 620,699,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Acer,Aspire 5,Notebook,17.3,Nvidia GeForce MX130,655,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.7,,Core i3 7130U,1920,1080,2073600
Lenovo,ThinkPad E480,Notebook,14.0,AMD Radeon RX 550,1116,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050M,869,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Toshiba,Satellite Pro,Notebook,15.6,Intel HD Graphics 520,602,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.3,,Core i5 6200U,1366,768,1049088
HP,255 G6,Notebook,15.6,AMD Radeon R4 Graphics,369,No Touchscreen,4,True,False,False,256,0,0,256,AMD,2.5,9220,A6-Series,1366,768,1049088
Asus,ZenBook UX430UA,Ultrabook,14.0,Intel UHD Graphics 620,1099,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
HP,EliteBook Folio,Ultrabook,12.5,Intel HD Graphics 515,2014,Touchscreen,8,True,False,False,512,0,0,512,Intel,1.2,,Core M 6Y75,3840,2160,8294400
